mm,liters,tank no.,length (internal) (m),diameter (internal) (m),date of calibration,ref. method,type,omc,location,total capacity (ltr),max tank level (m),safe fill height (ltr),safe fill height (m)
0,7,"10,000-IG NP-0019",4.5,2.92,8th november 2025,API MPMS Ch 2.2E ISO 12917-1,Flat Mild Steel Tank,Private,Hub Factory,50136,2.89,49523,2.8
10,17,,,,,,,,,,,,
20,48,,,,,,,,,,,,
30,88,,,,,,,,,,,,
40,136,,,,,,,,,,,,
50,190,,,,,,,,,,,,
60,249,,,,,,,,,,,,
70,314,,,,,,,,,,,,
80,383,,,,,,,,,,,,
90,457,,,,,,,,,,,,
100,534,,,,,,,,,,,,
110,616,,,,,,,,,,,,
120,701,,,,,,,,,,,,
130,790,,,,,,,,,,,,
140,882,,,,,,,,,,,,
150,977,,,,,,,,,,,,
160,1075,,,,,,,,,,,,
170,1176,,,,,,,,,,,,
180,1280,,,,,,,,,,,,
190,1387,,,,,,,,,,,,
200,1496,,,,,,,,,,,,
210,1608,,,,,,,,,,,,
220,1722,,,,,,,,,,,,
230,1839,,,,,,,,,,,,
240,1958,,,,,,,,,,,,
250,2080,,,,,,,,,,,,
260,2203,,,,,,,,,,,,
270,2329,,,,,,,,,,,,
280,2457,,,,,,,,,,,,
290,2587,,,,,,,,,,,,
300,2719,,,,,,,,,,,,
310,2853,,,,,,,,,,,,
320,2989,,,,,,,,,,,,
330,3127,,,,,,,,,,,,
340,3266,,,,,,,,,,,,
350,3408,,,,,,,,,,,,
360,3551,,,,,,,,,,,,
370,3696,,,,,,,,,,,,
380,3842,,,,,,,,,,,,
390,3990,,,,,,,,,,,,
400,4140,,,,,,,,,,,,
410,4292,,,,,,,,,,,,
420,4445,,,,,,,,,,,,
430,4599,,,,,,,,,,,,
440,4755,,,,,,,,,,,,
450,4912,,,,,,,,,,,,
460,5071,,,,,,,,,,,,
470,5232,,,,,,,,,,,,
480,5393,,,,,,,,,,,,
490,5556,,,,,,,,,,,,
500,5721,,,,,,,,,,,,
510,5886,,,,,,,,,,,,
520,6053,,,,,,,,,,,,
530,6221,,,,,,,,,,,,
540,6391,,,,,,,,,,,,
550,6561,,,,,,,,,,,,
560,6733,,,,,,,,,,,,
570,6906,,,,,,,,,,,,
580,7080,,,,,,,,,,,,
590,7256,,,,,,,,,,,,
600,7432,,,,,,,,,,,,
610,7610,,,,,,,,,,,,
620,7788,,,,,,,,,,,,
630,7968,,,,,,,,,,,,
640,8149,,,,,,,,,,,,
650,8330,,,,,,,,,,,,
660,8513,,,,,,,,,,,,
670,8697,,,,,,,,,,,,
680,8881,,,,,,,,,,,,
690,9067,,,,,,,,,,,,
700,9254,,,,,,,,,,,,
710,9441,,,,,,,,,,,,
720,9629,,,,,,,,,,,,
730,9819,,,,,,,,,,,,
740,10009,,,,,,,,,,,,
750,10200,,,,,,,,,,,,
760,10391,,,,,,,,,,,,
770,10584,,,,,,,,,,,,
780,10777,,,,,,,,,,,,
790,10972,,,,,,,,,,,,
800,11166,,,,,,,,,,,,
810,11362,,,,,,,,,,,,
820,11559,,,,,,,,,,,,
830,11756,,,,,,,,,,,,
840,11954,,,,,,,,,,,,
850,12152,,,,,,,,,,,,
860,12352,,,,,,,,,,,,
870,12552,,,,,,,,,,,,
880,12752,,,,,,,,,,,,
890,12954,,,,,,,,,,,,
900,13156,,,,,,,,,,,,
910,13358,,,,,,,,,,,,
920,13561,,,,,,,,,,,,
930,13765,,,,,,,,,,,,
940,13969,,,,,,,,,,,,
950,14174,,,,,,,,,,,,
960,14380,,,,,,,,,,,,
970,14586,,,,,,,,,,,,
980,14792,,,,,,,,,,,,
990,15000,,,,,,,,,,,,
1000,15207,,,,,,,,,,,,
1010,15415,,,,,,,,,,,,
1020,15624,,,,,,,,,,,,
1030,15833,,,,,,,,,,,,
1040,16042,,,,,,,,,,,,
1050,16252,,,,,,,,,,,,
1060,16463,,,,,,,,,,,,
1070,16674,,,,,,,,,,,,
1080,16885,,,,,,,,,,,,
1090,17096,,,,,,,,,,,,
1100,17309,,,,,,,,,,,,
1110,17521,,,,,,,,,,,,
1120,17734,,,,,,,,,,,,
1130,17947,,,,,,,,,,,,
1140,18160,,,,,,,,,,,,
1150,18374,,,,,,,,,,,,
1160,18588,,,,,,,,,,,,
1170,18803,,,,,,,,,,,,
1180,19018,,,,,,,,,,,,
1190,19233,,,,,,,,,,,,
1200,19448,,,,,,,,,,,,
1210,19664,,,,,,,,,,,,
1220,19880,,,,,,,,,,,,
1230,20096,,,,,,,,,,,,
1240,20312,,,,,,,,,,,,
1250,20529,,,,,,,,,,,,
1260,20746,,,,,,,,,,,,
1270,20963,,,,,,,,,,,,
1280,21180,,,,,,,,,,,,
1290,21397,,,,,,,,,,,,
1300,21615,,,,,,,,,,,,
1310,21833,,,,,,,,,,,,
1320,22051,,,,,,,,,,,,
1330,22269,,,,,,,,,,,,
1340,22487,,,,,,,,,,,,
1350,22705,,,,,,,,,,,,
1360,22924,,,,,,,,,,,,
1370,23142,,,,,,,,,,,,
1380,23361,,,,,,,,,,,,
1390,23579,,,,,,,,,,,,
1400,23798,,,,,,,,,,,,
1410,24017,,,,,,,,,,,,
1420,24236,,,,,,,,,,,,
1430,24455,,,,,,,,,,,,
1440,24674,,,,,,,,,,,,
1450,24893,,,,,,,,,,,,
1460,25112,,,,,,,,,,,,
1470,25331,,,,,,,,,,,,
1480,25550,,,,,,,,,,,,
1490,25769,,,,,,,,,,,,
1500,25988,,,,,,,,,,,,
1510,26207,,,,,,,,,,,,
1520,26426,,,,,,,,,,,,
1530,26644,,,,,,,,,,,,
1540,26863,,,,,,,,,,,,
1550,27082,,,,,,,,,,,,
1560,27300,,,,,,,,,,,,
1570,27519,,,,,,,,,,,,
1580,27737,,,,,,,,,,,,
1590,27955,,,,,,,,,,,,
1600,28173,,,,,,,,,,,,
1610,28391,,,,,,,,,,,,
1620,28609,,,,,,,,,,,,
1630,28826,,,,,,,,,,,,
1640,29044,,,,,,,,,,,,
1650,29261,,,,,,,,,,,,
1660,29478,,,,,,,,,,,,
1670,29695,,,,,,,,,,,,
1680,29912,,,,,,,,,,,,
1690,30128,,,,,,,,,,,,
1700,30344,,,,,,,,,,,,
1710,30560,,,,,,,,,,,,
1720,30776,,,,,,,,,,,,
1730,30991,,,,,,,,,,,,
1740,31206,,,,,,,,,,,,
1750,31420,,,,,,,,,,,,
1760,31635,,,,,,,,,,,,
1770,31849,,,,,,,,,,,,
1780,32064,,,,,,,,,,,,
1790,32277,,,,,,,,,,,,
1800,32491,,,,,,,,,,,,
1810,32704,,,,,,,,,,,,
1820,32918,,,,,,,,,,,,
1830,33128,,,,,,,,,,,,
1840,33339,,,,,,,,,,,,
1850,33550,,,,,,,,,,,,
1860,33761,,,,,,,,,,,,
1870,33971,,,,,,,,,,,,
1880,34181,,,,,,,,,,,,
1890,34391,,,,,,,,,,,,
1900,34600,,,,,,,,,,,,
1910,34809,,,,,,,,,,,,
1920,35017,,,,,,,,,,,,
1930,35224,,,,,,,,,,,,
1940,35431,,,,,,,,,,,,
1950,35638,,,,,,,,,,,,
1960,35844,,,,,,,,,,,,
1970,36049,,,,,,,,,,,,
1980,36254,,,,,,,,,,,,
1990,36459,,,,,,,,,,,,
2000,36662,,,,,,,,,,,,
2010,36866,,,,,,,,,,,,
2020,37068,,,,,,,,,,,,
2030,37270,,,,,,,,,,,,
2040,37471,,,,,,,,,,,,
2050,37672,,,,,,,,,,,,
2060,37872,,,,,,,,,,,,
2070,38071,,,,,,,,,,,,
2080,38270,,,,,,,,,,,,
2090,38468,,,,,,,,,,,,
2100,38665,,,,,,,,,,,,
2110,38862,,,,,,,,,,,,
2120,39057,,,,,,,,,,,,
2130,39252,,,,,,,,,,,,
2140,39446,,,,,,,,,,,,
2150,39640,,,,,,,,,,,,
2160,39832,,,,,,,,,,,,
2170,40024,,,,,,,,,,,,
2180,40215,,,,,,,,,,,,
2190,40405,,,,,,,,,,,,
2200,40594,,,,,,,,,,,,
2210,40783,,,,,,,,,,,,
2220,40970,,,,,,,,,,,,
2230,41157,,,,,,,,,,,,
2240,41342,,,,,,,,,,,,
2250,41527,,,,,,,,,,,,
2260,41711,,,,,,,,,,,,
2270,41893,,,,,,,,,,,,
2280,42075,,,,,,,,,,,,
2290,42256,,,,,,,,,,,,
2300,42435,,,,,,,,,,,,
2310,42614,,,,,,,,,,,,
2320,42792,,,,,,,,,,,,
2330,42968,,,,,,,,,,,,
2340,43143,,,,,,,,,,,,
2350,43317,,,,,,,,,,,,
2360,43490,,,,,,,,,,,,
2370,43662,,,,,,,,,,,,
2380,43833,,,,,,,,,,,,
2390,44002,,,,,,,,,,,,
2400,44171,,,,,,,,,,,,
2410,44338,,,,,,,,,,,,
2420,44503,,,,,,,,,,,,
2430,44668,,,,,,,,,,,,
2440,44831,,,,,,,,,,,,
2450,44992,,,,,,,,,,,,
2460,45152,,,,,,,,,,,,
2470,45311,,,,,,,,,,,,
2480,45469,,,,,,,,,,,,
2490,45625,,,,,,,,,,,,
2500,45779,,,,,,,,,,,,
2510,45932,,,,,,,,,,,,
2520,46083,,,,,,,,,,,,
2530,46233,,,,,,,,,,,,
2540,46381,,,,,,,,,,,,
2550,46528,,,,,,,,,,,,
2560,46673,,,,,,,,,,,,
2570,46816,,,,,,,,,,,,
2580,46957,,,,,,,,,,,,
2590,47097,,,,,,,,,,,,
2600,47235,,,,,,,,,,,,
2610,47371,,,,,,,,,,,,
2620,47505,,,,,,,,,,,,
2630,47637,,,,,,,,,,,,
2640,47767,,,,,,,,,,,,
2650,47894,,,,,,,,,,,,
2660,48020,,,,,,,,,,,,
2670,48144,,,,,,,,,,,,
2680,48265,,,,,,,,,,,,
