customer_code,station_name,city,district,division,province,location,lat,lng,total_dus
102326,CHEEMA P/S,BAHAWALPUR,BAHAWALNAGAR,BWP,PUNJAB,IN KM NO.5 ON BAHAWALPYAZMAN ROAD AT CHAK NOA/BC B,29.3608311,71.6943388,5
119419,NAWAB P/S,SADIQABAD,BAHAWALPUR,BWP,PUNJAB,TEHSIL SADIQ ABAD KLP ROAD (N-5) AT MAUZA UMAID ALI BHAIT RAHIM YAR KHAN,28.37159,70.16746,4
116354,AHMED PETROLEUM SERVICE,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,FATHPURDISTT RAHIMYARKHAN,28.51134,70.24207,3
118386,INDUS PETROLEUM SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,SHAHBAZ PUR ROAD FACTORY AREA RAHIM YAR KHAN,28.42379,70.28914,3
114425,IQBAL P/S,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,ON AIRPORT ROAD RAHIM-YAR KHAN CITYR.Y.KHAN,28.41419,70.30221,4
118283,RAHMAN PETROLEUM SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,KHAN PUR ROAD RAHIM YAR KHAN,28.42902,70.32949,4
118225,FAHEEM P/S,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,SARDARGARH KLP ROAD RAHIM YAR KHAN,28.71353,70.43881,5
119725,EMARATS PETROLEUM SERVICE,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,SHEIKH ZAID AT CHAK NO.55/P B/W KM 18-19 OF SHAHRAH-E- RAHIM YAR KHAN,28.33231,70.42489,3
102356,MUSHTAQ PET SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,DISTRICT COUNCIL ROADRAHIMYAR KHAN,28.40127,70.29883,4
102376,SHALIMAR FILLING STN,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,NATIONAL HIGHWAYMIANWALI QURESHIANDISTT RAHIMYAR K,28.658076,70.38741,3
111641,FIDA P/S,DIST RAHIMYAR KHAN,BAHAWALPUR,BWP,PUNJAB,BHYUTTA KOT KLP ROAD KM# 597,28.56255,70.28406,4
111865,NISAR F/S,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,NATIONAL HIGHWAY K#670/595,28.53692,70.26408,4
114400,NEW REHMAN F/S,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,B/W KM NO. 175/176 OF SHAHI ROAD AT TARANDA SAWAYA KHAN RAHIMYAR KHAN,28.48636,70.40869,3
118679,ASIF PET SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,BYPASS ROAD TEHSIL & DISTRICT RAHIM YAR KHAN,28.437412,70.309818,3
115971,NEW BILAL P/S,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,KHAN GULMERG ROADCHOK ABU DHABIR.Y.KHAN,28.40502,70.31886,3
102430,MOHAMMADI PET SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,IMAM NAGAR RD MAUZARAJANPUR KHURED RYK.,28.61017,70.17824,3
102461,SHAMIM PET SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,KM-1 BYEPASS ROADMOUZA KOT DARYARAHIMYARKHAN,28.42906,70.32491,3
102565,JADDAH PET/SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,SHAHRAH-E-SHAIKH ZAIDRAHIM YAR KHAN,28.39868,70.32627,4
103079,SHAHEEN PETROLEUM SER,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,KM 7/8 RYK/HJS ROADCHAK NO 107/PRAHIMYARKHAN,28.34971,70.34108,3
118012,KHYBER PETROLEUM SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,AKRAM ABAD KLP ROAD RAHIM YAR KHAN,28.48306,70.23226,4
116911,AL AMIN F S,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,KM1/2 CCHRAN RD SARDARGARH MOUZA MURAD PURRAHIMYAR,28.79147,70.40903,2
119752,ZAHID PETROLIUM SERVIC,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,CHAK # 113/P MANTHAR ROAD RAHIM YAR KHAN,28.35605,70.29015,3
118742,ABUDHABI PETROLEUM SERVICE,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,PALACE ROAD DARISANGHI TEHSIL & DISTRICT RAHIMYARKHAN,28.38956,70.34311,3
114724,CHAND F/S,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,B/W KM 697/698 KLP ROAD AT MAUZA MIANWALI SHEIKHAN,28.73856,70.46293,4
102377,TAHIR PETROLEUM SER,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,PSO PETROL PUMPSHAHI ROAD  R Y KHANDISTT RAHIMYAR,28.42248,70.31551,2
119549,ITTEHAD PETROLEUM SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,SHAHI BAZAR ROAD RAHIMYAR KHAN,28.42571,70.28028,3
102385,UNITED PETROLEUM,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,SERVICEPSO  RETAIL DEALERRAHIM YAR KHAN,28.42237,70.31711,5
114780,KHAN P/S,RAHIM YAR KHAN,BAHAWALPUR,BWP,PUNJAB,KM 608 -609 OF N.H.WAYMOUZA PIR AHMED ABADR.Y.KHAN,28.20616,69.86695,4
117086,AFZAL BROTHER P S,SADIQABAD,RAHIM YAR KHAN,BWP,PUNJAB,PSO  RETAIL DEALERNEAR CHOWK BAHADUR PURSHAKEELABA,28.43307,70.21241,4
102420,HAZARA TRUCKING STN,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,MZA KHUDA BAKASH DAHARSADIQABAD R Y KHAN,28.28287,70.04493,3
118338,MAJEED BROTHERS,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,CHOWK BAHADUR PUR KLP ROAD RAHIM YAR KHAN,28.43741,70.21555,5
112123,REHMAN BROS P/S,RAHIM YAR KHAN,BAHAWALPUR,BWP,PUNJAB,KM 1 ON SADIQABAD DISTT,28.30199,70.12112,3
101755,DAWOOD  PET.SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,SADIQABAD BY-PASSMOUZA AMID ALIRAHIMYA,28.34236,70.13512,4
114019,ZEESHAN P/S,SADIQABAD,RAHIM YAR KHAN,BWP,PUNJAB,ON KLP ROAD (N-5) AT MOUZA PIR,28.20911,69.87706,4
118866,MAZARI AUTOS,SADIQABAD,RAHIM YAR KHAN,BWP,PUNJAB,SADIQ ABAD CITY DISTRICT RAHIM YAR KHAN,28.30111,70.10461,3
102394,SHAHAB TRUCKING STN,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,NO-5-MPTEH SADIQABADDIST RAHIMYAR KHAN,28.38698,70.18002,4
102395,FAIZ-E-GILLAN PET/SER,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,KM-24/25 SRG ROADRAHIMABAD SADIKABADDISTT RAHIMYAR,28.40815,69.93895,3
