customer_code,station_name,city,district,division,province,location,lat,lng,total_dus
116872,RK  PETROLEUM SERVICE,LAYYAH,LAYYAH,DIK,PUNJAB,"KAROR-LAYYAH ROAD,KAROR LAL ESAN KAROR LAL ESAN",31.22444,70.95062,4
118647,ZIA F/S,D.I KHAN,D.I KHAN,DIK,KP,MAIN INDUS HIGHWAY AT SHOR KOT DIKHAN,31.90613,70.88007,3
119961,HASSAN FILLING STATION,D.I KHAN,D.I KHAN,DIK,KP,AT KOTLA SAIDAN DIKHAN ZHOOB DARABAN ROAD DERA ISMAIL KHAN,31.82423,70.8528,4
103124,POLICE WELFARE F/STN,MIANWALI,MIANWALI,DIK,PUNJAB,KM-214/215 SOHAWACHAKWAL/TALAGANG/MNLRDMIANWALI.,32.58737,71.55161,4
116232,JOYA F/S,MIANWALI,MIANWALI,DIK,PUNJAB,MIANWALI BYPASS AT HARNOLI TOWN,32.30163,71.58393,4
118995,HASNAIN FS,MIANWALI,MIANWALI,DIK,PUNJAB,SARGODHA-MIANWALI ROAD AT GUL MERI MIANWALI,32.48,71.618,4
103786,INDUS PETROL SERVICE,LAYYAH,LAYYAH,DIK,PUNJAB,GARH MAHARAJA ROADLEIAHDISTT LEIAH,30.96691,70.96788,3
103787,SULTAN FILLING STATION,LAYYAH,LAYYAH,DIK,PUNJAB,MILE 14/4 LEIAH/DERADIN PANNAH ROADKOTSULTANDISTT,30.7616,70.93202,6
103788,THAL SERVICE STATION,LAYYAH,LAYYAH,DIK,PUNJAB,PSO  RETAIL DEALERCHOWK AZAMDISTT LEIAH,30.96363,71.2093,3
103789,SH MOHD ISMAIL AND CO,LAYYAH,LAYYAH,DIK,PUNJAB,LEIAH/KOTADDU/MUL ROADLEIAHDISTT LEIAH,30.94268,70.93704,5
103844,CHASHMA PETROL SER,MIANWALI,MIANWALI,DIK,PUNJAB,CHASHMADISTT MIANWALI,32.41785,71.43832,3
103876,KHURSHID ANWAR & CO,MIANWALI,MIANWALI,DIK,PUNJAB,203/6-7 MNWLI-SRG ROADMIANWALIDISTT MIANWALI,32.56475,71.54735,3
103892,MALIK FILL STATION,BHAKKAR,BHAKKAR,DIK,PUNJAB,KM-18-BHAK/LEIAH ROADNATAK DIST BHAKAR,31.47218,71.02987,3
103898,SAMI FILL STATION,BHAKKAR,BHAKKAR,DIK,PUNJAB,KHANSAR-M M ROADVIL-HYDERABADBHAKKAR,31.65412,71.32449,3
117214,KUND P/S,MIANWALI,MIANWALI,DIK,PUNJAB,ON KM179/180 MWI-TALAGANG ROAD AT DHOK MASTAL MIANWALI,32.72432,71.83873,4
103954,ALI KHAN PET SERVICE,MIANWALI,MIANWALI,DIK,PUNJAB,KM-29/30N/R RLYSTATIONDHER UMAID ALISHAHMIANWALI,32.81851,71.57886,4
103991,PUNJAB SARHAD FILL STN,BHAKKAR,BHAKKAR,DIK,PUNJAB,CHATTA OIL TRADERS  DARYA KHAN  DISTT BHAKKAR PH 0453-252846,31.70629,71.09233,5
104028,ASFAND PETROLEUM,MIANWALI,MIANWALI,DIK,PUNJAB,LHR/SRG/MWI/BANNU ROADMOCHHMIANWALI,32.73975,71.54529,3
104030,SHALIMAR FILL STATION,BHAKKAR,BHAKKAR,DIK,PUNJAB,KATCHI KHURD SHAHANIRD BHAKKARBHAKKAR,31.63261,71.05289,4
